frame,stamp,vertex_before,vertex_after,decision,inside,iou,rel_dist,localization_stamp,matched_count,unmatched_count,new_vertex_id,edge_events
127,1517156189.041307926,4,4,KEEP,true,0.864414,0.0578,1517156188.641622,0,4,,
128,1517156189.441717863,4,4,KEEP,true,0.858286,0.0592,1517156188.641622,0,4,,
129,1517156189.742702007,4,4,KEEP,true,0.856090,0.0637,1517156189.441718,1,3,,
130,1517156190.141112328,4,4,KEEP,true,0.855482,0.0661,1517156189.742702,0,4,,
131,1517156190.441289902,4,4,KEEP,true,0.859528,0.0667,1517156189.742702,0,4,,
132,1517156190.741807938,4,4,KEEP,true,0.833294,0.1312,1517156190.441290,0,4,,
133,1517156191.141995668,4,4,KEEP,true,0.730196,0.2653,1517156190.741808,0,4,,
134,1517156191.541694880,4,4,KEEP,true,0.678669,0.3634,1517156191.141996,0,4,,
135,1517156191.941512108,4,4,KEEP,true,0.516814,0.5047,1517156191.141996,0,4,,
136,1517156192.241877317,4,4,KEEP,true,0.443028,0.6479,1517156191.941512,0,4,,
137,1517156192.640820980,4,4,KEEP,true,0.374385,0.7765,1517156192.241877,0,4,,
138,1517156192.941340208,4,4,KEEP,true,0.372720,0.8715,1517156192.241877,0,4,,
139,1517156193.341713428,4,4,KEEP,true,0.367433,0.9946,1517156192.941340,0,4,,
140,1517156193.741806507,4,4,KEEP,true,0.355981,1.1054,1517156193.341713,0,4,,
141,1517156194.140964270,4,4,KEEP,true,0.355557,1.3098,1517156193.741807,0,4,,
142,1517156194.441492558,4,4,KEEP,true,0.321710,1.5197,1517156193.741807,0,4,,
143,1517156194.841563702,4,4,KEEP,true,0.337833,1.7616,1517156194.441493,0,4,,
144,1517156195.240665913,4,4,KEEP,true,0.341400,1.9969,1517156194.841564,0,4,,
145,1517156195.541669130,4,4,KEEP,true,0.339029,2.1354,1517156195.240666,0,4,,
146,1517156195.940649033,4,4,KEEP,true,0.329627,2.2850,1517156195.240666,0,4,,
147,1517156196.241319895,4,5,NEW_VERTEX,true,0.284051,0.0000,1517156195.940649,0,4,5,SEQUENTIAL:4->5:ADDED
148,1517156196.541426420,5,5,KEEP,true,0.788260,0.2835,1517156196.241320,0,5,,
149,1517156196.941506863,5,5,KEEP,true,0.682287,0.6359,1517156196.241320,0,5,,
150,1517156197.341275930,5,5,KEEP,true,0.620032,1.0020,1517156196.941507,0,5,,
151,1517156197.741720915,5,5,KEEP,true,0.535164,1.4816,1517156197.341276,0,5,,
152,1517156198.141529083,5,5,KEEP,true,0.512308,1.9174,1517156197.741721,0,5,,
153,1517156198.540590763,5,5,KEEP,true,0.498478,2.3733,1517156198.141529,0,5,,
154,1517156198.840935946,5,5,KEEP,true,0.501505,2.7397,1517156198.141529,0,5,,
155,1517156199.141246319,5,5,KEEP,true,0.501478,3.1321,1517156198.840936,0,5,,
156,1517156199.441617012,5,5,KEEP,true,0.499864,3.5421,1517156198.840936,0,5,,
157,1517156199.840697289,5,5,KEEP,true,0.487084,4.1013,1517156199.441617,0,5,,
158,1517156200.141278267,5,5,KEEP,true,0.525680,4.4729,1517156199.840697,0,5,,
159,1517156200.541255236,5,5,KEEP,true,0.539927,4.8755,1517156200.141278,0,5,,
160,1517156200.941143990,5,6,NEW_VERTEX,true,0.520608,0.0000,1517156200.141278,0,5,6,SEQUENTIAL:5->6:ADDED
161,1517156201.341011763,6,6,KEEP,true,0.777241,0.4631,1517156200.941144,1,4,,
162,1517156201.641441584,6,6,KEEP,true,0.768262,0.5798,1517156201.341012,1,4,,
163,1517156202.040543318,6,6,KEEP,true,0.688722,0.5884,1517156201.641442,1,4,,
164,1517156202.340799809,6,6,KEEP,true,0.669291,0.5840,1517156201.641442,1,4,,
165,1517156202.641262531,6,6,KEEP,true,0.664990,0.5766,1517156202.340800,1,4,,
166,1517156203.041190863,6,6,KEEP,true,0.642338,0.5825,1517156202.641263,0,5,,
167,1517156203.441291571,6,6,KEEP,true,0.635257,0.5983,1517156202.641263,0,5,,
168,1517156203.841039419,6,6,KEEP,true,0.618500,0.6145,1517156203.441292,1,4,,
169,1517156204.141237736,6,6,KEEP,true,0.623583,0.6269,1517156203.841039,0,5,,
170,1517156204.541140795,6,6,KEEP,true,0.610539,0.6016,1517156204.141238,1,4,,
171,1517156204.940350771,6,6,KEEP,true,0.686076,0.5819,1517156204.141238,1,4,,
172,1517156205.340843916,6,6,KEEP,true,0.748699,0.5458,1517156204.940351,0,5,,
173,1517156205.641308784,6,6,KEEP,true,0.762694,0.5000,1517156205.340844,1,4,,
174,1517156206.040406466,6,6,KEEP,true,0.716156,0.5199,1517156205.641309,1,4,,
175,1517156206.340725422,6,6,KEEP,true,0.695405,0.6216,1517156205.641309,1,4,,
176,1517156206.740666389,6,6,KEEP,true,0.687248,0.8161,1517156206.340725,0,5,,
177,1517156207.140740395,6,6,KEEP,true,0.660807,1.0538,1517156206.740666,1,4,,
178,1517156207.441174269,6,6,KEEP,true,0.656885,1.2893,1517156206.740666,1,4,,
179,1517156207.840348959,6,6,KEEP,true,0.636900,1.6291,1517156207.441174,1,4,,
180,1517156208.140658855,6,6,KEEP,true,0.612847,1.8752,1517156207.840349,0,5,,
181,1517156208.540587187,6,6,KEEP,true,0.660291,2.1351,1517156208.140659,0,5,,
182,1517156208.940762520,6,6,KEEP,true,0.669599,2.4084,1517156208.140659,0,5,,
183,1517156209.340784550,6,6,KEEP,true,0.663160,2.6569,1517156208.940763,1,4,,
184,1517156209.740873814,6,6,KEEP,true,0.571437,2.8271,1517156209.340785,0,5,,
185,1517156210.140628338,6,6,KEEP,true,0.452101,3.1026,1517156209.740874,0,5,,
186,1517156210.540734529,6,6,KEEP,true,0.366700,3.4076,1517156210.140628,0,5,,
187,1517156210.940588236,6,7,NEW_VERTEX,true,0.279862,3.7353,1517156210.140628,0,5,7,SEQUENTIAL:6->7:ADDED
188,1517156211.340671301,7,7,KEEP,true,0.621868,0.2978,1517156210.940588,0,5,,
189,1517156211.740274906,7,7,KEEP,true,0.578524,0.5032,1517156211.340671,0,5,,
190,1517156212.040804625,7,7,KEEP,true,0.537622,0.6394,1517156211.740275,0,5,,
191,1517156212.439966679,7,7,KEEP,true,0.508612,0.8124,1517156211.740275,0,5,,
192,1517156212.740355253,7,7,KEEP,true,0.488486,0.9096,1517156212.439967,0,5,,
193,1517156213.140361786,7,7,KEEP,true,0.345912,1.0142,1517156212.740355,0,5,,
194,1517156213.540615320,7,8,NEW_VERTEX,true,0.246801,0.0000,1517156213.140362,0,5,8,SEQUENTIAL:7->8:ADDED
195,1517156213.840811491,8,8,KEEP,true,0.863214,0.0786,1517156213.140362,0,5,,
196,1517156214.239814281,8,8,KEEP,true,0.765877,0.1559,1517156213.840811,1,4,,
197,1517156214.540369511,8,8,KEEP,true,0.738663,0.1829,1517156214.239814,0,5,,
198,1517156214.940150976,8,8,KEEP,true,0.707205,0.1772,1517156214.239814,0,5,,
199,1517156215.340274572,8,8,KEEP,true,0.713744,0.1752,1517156214.940151,1,4,,
200,1517156215.740109921,8,8,KEEP,true,0.719701,0.1679,1517156215.340275,1,4,,
201,1517156216.040363550,8,8,KEEP,true,0.757920,0.1701,1517156215.740110,0,5,,
202,1517156216.440464973,8,8,KEEP,true,0.761003,0.1712,1517156215.740110,0,5,,
203,1517156216.840254307,8,8,KEEP,true,0.756629,0.1727,1517156216.440465,1,4,,
204,1517156217.140609026,8,8,KEEP,true,0.719870,0.1709,1517156216.840254,1,4,,
205,1517156217.539781809,8,8,KEEP,true,0.762476,0.1710,1517156217.140609,0,5,,
206,1517156217.841082573,8,8,KEEP,true,0.738039,0.2414,1517156217.140609,0,5,,
207,1517156218.240236044,8,8,KEEP,true,0.723739,0.3818,1517156217.841083,0,5,,
208,1517156218.541096687,8,8,KEEP,true,0.705584,0.4827,1517156218.240236,0,5,,
209,1517156218.940548182,8,8,KEEP,true,0.645995,0.6033,1517156218.240236,0,5,,
210,1517156219.340503216,8,8,KEEP,true,0.647566,0.6961,1517156218.940548,1,4,,
211,1517156219.740436554,8,8,KEEP,true,0.663732,0.7851,1517156219.340503,0,5,,
212,1517156220.040647507,8,8,KEEP,true,0.625000,0.8654,1517156219.740437,0,5,,
213,1517156220.341289043,8,8,KEEP,true,0.551363,1.0026,1517156219.740437,0,5,,
214,1517156220.739537001,8,8,KEEP,true,0.566578,1.2312,1517156220.341289,0,5,,
215,1517156221.040067673,8,8,KEEP,true,0.550677,1.4159,1517156220.739537,0,5,,
216,1517156221.443775892,8,8,KEEP,true,0.570325,1.6771,1517156220.739537,0,5,,
217,1517156221.841968536,8,8,KEEP,true,0.501781,1.9222,1517156221.443776,0,5,,
218,1517156222.239454269,8,8,KEEP,true,0.492360,2.1637,1517156221.841969,0,5,,
219,1517156222.539785147,8,8,KEEP,true,0.557408,2.3507,1517156222.239454,0,5,,
220,1517156222.939399004,8,8,KEEP,true,0.530642,2.5986,1517156222.239454,0,5,,
221,1517156223.239568233,8,8,KEEP,true,0.532918,2.7941,1517156222.939399,0,5,,
222,1517156223.639655352,8,8,KEEP,true,0.548647,3.0694,1517156223.239568,0,5,,
223,1517156224.040083170,8,8,KEEP,true,0.547672,3.3137,1517156223.639655,0,5,,
224,1517156224.439188242,8,8,KEEP,true,0.543179,3.3548,1517156223.639655,0,5,,
225,1517156224.739687681,8,8,KEEP,true,0.512487,3.3450,1517156224.439188,0,5,,
226,1517156225.040304422,8,8,KEEP,true,0.525027,3.3412,1517156224.739688,0,5,,
227,1517156225.439292908,8,8,KEEP,true,0.559168,3.3476,1517156224.739688,0,5,,
228,1517156225.739762068,8,8,KEEP,true,0.553008,3.3485,1517156225.439293,0,5,,
229,1517156226.040164471,8,8,KEEP,true,0.544420,3.3466,1517156225.739762,0,5,,
230,1517156226.439447641,8,8,KEEP,true,0.538997,3.3418,1517156225.739762,0,5,,
231,1517156226.739853621,8,8,KEEP,true,0.520433,3.3313,1517156226.439448,0,5,,
232,1517156227.139771700,8,8,KEEP,true,0.500000,3.3001,1517156226.739854,0,5,,
233,1517156227.540272951,8,8,KEEP,true,0.497678,3.2795,1517156227.139772,0,5,,
234,1517156227.939852953,8,8,KEEP,true,0.500340,3.2471,1517156227.139772,0,5,,
235,1517156228.339944601,8,8,KEEP,true,0.574668,3.1468,1517156227.939853,0,5,,
236,1517156228.739709616,8,8,KEEP,true,0.553623,3.0457,1517156228.339945,0,5,,
237,1517156229.040085554,8,8,KEEP,true,0.527291,2.9386,1517156228.739710,0,5,,
238,1517156229.439176798,8,8,KEEP,true,0.483719,2.7364,1517156228.739710,0,5,,
239,1517156229.739784718,8,8,KEEP,true,0.442997,2.5820,1517156229.439177,0,5,,
240,1517156230.139713764,8,8,KEEP,true,0.478486,2.3723,1517156229.739785,0,5,,
241,1517156230.539596081,8,8,KEEP,true,0.537898,2.1519,1517156230.139714,0,5,,
242,1517156230.939493656,8,8,KEEP,true,0.546151,1.9388,1517156230.139714,0,5,,
